"　　毎月勤労統計調査　産業別時系列表（賃金・労働時間・雇用指数、労働異動率及び対前年比（差））　　和歌山県","","","","","","","","","","","","","","","平成22年＝100",""
"離職率","J金融業・保険業","３０人以上","2005.0","1.97","0.95","2.65","2.84","4.59","1.71","2.01","1.9","0.9","1.88","1.84","0.79","1.56"
"離職率","J金融業・保険業","３０人以上","2006.0","3.25","1.23","2.31","0.77","5.03","2.03","0.65","1.49","1.02","0.74","21.84","0.85","1.04"
"離職率","J金融業・保険業","３０人以上","2007.0","2.9","3.33","2.39","2.4","5.19","1.57","2.81","2.3","1.0","2.44","6.24","2.91","2.27"
"離職率","J金融業・保険業","３０人以上","2008.0","2.64","1.03","1.9","2.53","3.96","4.17","2.27","1.3","1.4","4.64","4.42","2.13","1.88"
"離職率","J金融業・保険業","３０人以上","2009.0","2.56","0.32","0.32","0.64","8.71","0.63","7.76","0.98","0.34","1.65","5.97","0.98","2.36"
"離職率","J金融業・保険業","３０人以上","2010.0","1.81","0.69","0.34","1.0","4.43","1.31","3.35","0.69","0.35","0.0","6.75","0.35","2.41"
"離職率","J金融業・保険業","３０人以上","2011.0","2.01","0.7","0.0","0.35","7.58","0.0","2.71","3.43","0.0","0.7","5.89","1.05","1.7"
"離職率","J金融業・保険業","３０人以上","2012.0","2.42","2.16","1.34","1.33","6.32","1.0","2.71","1.76","0.47","2.48","6.05","1.13","2.25"
"離職率","J金融業・保険業","３０人以上","2013.0","2.03","1.05","1.12","3.17","4.28","0.97","1.75","1.8","1.23","1.82","5.31","0.65","1.19"
"離職率","J金融業・保険業","３０人以上","2014.0","2.42","1.25","7.05","1.76","7.52","0.4","1.7","1.69","1.46","0.58","3.98","0.83","0.85"
"離職率","J金融業・保険業","３０人以上","2015.0","2.33","0.53","0.16","0.93","9.71","0.49","2.37","1.79","0.49","2.33","7.32","0.05","1.84"
"離職率（前年差）","J金融業・保険業","３０人以上","2006.0","1.28","0.28","-0.34","-2.07","0.44","0.32","-1.36","-0.41","0.12","-1.14","20.0","0.06","-0.52"
"離職率（前年差）","J金融業・保険業","３０人以上","2007.0","-0.35","2.1","0.08","1.63","0.16","-0.46","2.16","0.81","-0.02","1.7","-15.6","2.06","1.23"
"離職率（前年差）","J金融業・保険業","３０人以上","2008.0","-0.26","-2.3","-0.49","0.13","-1.23","2.6","-0.54","-1.0","0.4","2.2","-1.82","-0.78","-0.39"
"離職率（前年差）","J金融業・保険業","３０人以上","2009.0","-0.08","-0.71","-1.58","-1.89","4.75","-3.54","5.49","-0.32","-1.06","-2.99","1.55","-1.15","0.48"
"離職率（前年差）","J金融業・保険業","３０人以上","2010.0","-0.75","0.37","0.02","0.36","-4.28","0.68","-4.41","-0.29","0.01","-1.65","0.78","-0.63","0.05"
"離職率（前年差）","J金融業・保険業","３０人以上","2011.0","0.2","0.01","-0.34","-0.65","3.15","-1.31","-0.64","2.74","-0.35","0.7","-0.86","0.7","-0.71"
"離職率（前年差）","J金融業・保険業","３０人以上","2012.0","0.41","1.46","1.34","0.98","-1.26","1.0","0.0","-1.67","0.47","1.78","0.16","0.08","0.55"
